query,website,name,cluster,mechanic,track,address,postcode,placeId
megans.co.uk,https://megans.co.uk/locations/megans-clapham/,Megan's Clapham Old Town Restaurant (Clapham),Clapham Old Town,end_of_day_food,end_of_day_food,"55-57 The Pavement, London",SW4 0JQ,ChIJCdydQTwFdkgRLRWkVchU7NQ
minnowclapham.co.uk,https://minnowclapham.co.uk/?utm_source=google&utm_medium=maps,Minnow Clapham,Clapham Old Town,end_of_day_food,end_of_day_food,"The Pavement Cafe, 21 The Pavement, London",SW4 0HY,ChIJxcdQV00EdkgRKQX2UVNnheE
rudyspizza.co.uk,https://www.rudyspizza.co.uk/location/clapham-common/,Rudy's Pizza Napoletana - Clapham Common,Clapham Old Town,end_of_day_food,end_of_day_food,"15 The Pavement, London",SW4 0HY,ChIJjQyBfWUFdkgRfUMZPUsg2jY
slabcitypizza.co.uk,https://www.slabcitypizza.co.uk/,Slab City Pizza,Clapham Old Town,end_of_day_food,end_of_day_food,"8 The Pavement, London",SW4 0HY,ChIJ0x8b0F8FdkgR6_BkIm53B6c
larklondon.com,http://www.larklondon.com/,Lark Clapham,Clapham High Street,curated_object,fashion,"127 Clapham High St, London",SW4 7SS,ChIJa1q3XR4FdkgRu0e-xeipRqo
savethechildren.org.uk,https://www.savethechildren.org.uk/,Save The Children,Clapham High Street,curated_object,charity,"Bowyer House, 36 Clapham High St, London",SW4 7UR,ChIJKXApTVAEdkgR-RqE9zuzw_4
claphamhairandbeauty.com,http://www.claphamhairandbeauty.com/,@ Clapham Hair and Beauty,Clapham High Street,empty_chair,empty_chair,"100 Clapham High St, London",SW4 7UL,ChIJM5NPWOwFdkgRzMKogjcDbt4
bestyledbychen.com,http://www.bestyledbychen.com/,Be Styled By Chen,Clapham High Street,empty_chair,empty_chair,"100 Clapham High St, London",SW4 7UL,ChIJbbAoTvAFdkgR2_0bUyl03h8
beyondthebrushldn.com,https://www.beyondthebrushldn.com/,Beyond The Brush Ldn By Monique,Clapham High Street,empty_chair,empty_chair,"100 Clapham High St, London",SW4 7UL,ChIJ4Xsi1hcFdkgRBt5J3EWZPwE
claphambarbers.co.uk,https://www.claphambarbers.co.uk/,Clapham Barbers,Clapham High Street,empty_chair,empty_chair,"128 Clapham High St, London",SW4 7UH,ChIJfXRHBFIEdkgRgFsoDn3Aq1w
danugur.co.uk,https://www.danugur.co.uk/,Danugur Clapham/Stockwell,Clapham High Street,empty_chair,empty_chair,"Light Centre, 151-153 Clapham High St, London",SW4 7SS,ChIJn4e12SgFdkgRtQ7qidPNxj8
headmasters.com,https://www.headmasters.com/find-a-salon/clapham-high-street,Headmasters Clapham High Street,Clapham High Street,empty_chair,empty_chair,"96 Clapham High St, London",SW4 7UL,ChIJr2s56lEEdkgR28ABdc7Mh4I
widget.treatwell.co.uk,https://widget.treatwell.co.uk/place/nails-first-1/,Nails First,Clapham High Street,empty_chair,empty_chair,"Hansford Building 11a, Unit 1 Bedford Rd, Clapham High St, London",SW4 7SH,ChIJY4DkNvoFdkgRDYSjq4898qM
sw4barbers.co.uk,https://sw4barbers.co.uk/,SW4 BARBERS,Clapham High Street,empty_chair,empty_chair,"6 Clapham High St, London",SW4 7UT,ChIJWW4-MIAFdkgROGJ8ofUntTg
so.me,http://so.me/,So Me Beauty & Wellness (Clapham North),Clapham High Street,empty_chair,empty_chair,"21 Clapham High St, London",SW4 7TR,ChIJ6wxjQ1AEdkgRMfIMZi6a_4g
townhouse.co.uk,https://townhouse.co.uk/?utm_content=Townhouse%20Clapham%20-%20London&utm_campaign=london&utm_medium=organic_gbp&utm_source=google&utm_term=plcid_15627691894108802149,"Townhouse Nail Salon, Clapham",Clapham High Street,empty_chair,empty_chair,"107 Clapham High St, London",SW4 7TB,ChIJxW9WjLsFdkgR-O_x-IM_Jv4
venusbarbersclapham.co.uk,https://venusbarbersclapham.co.uk/,Venus Barbers,Clapham High Street,empty_chair,empty_chair,"105A Clapham High St, London",SW4 7TB,ChIJxQ_1h00EdkgREHYqo7lOgAY
blacksheepcoffee.co.uk,https://blacksheepcoffee.co.uk/blogs/locations/clapham-high-street,Black Sheep Coffee,Clapham High Street,end_of_day_food,end_of_day_food,"155-157 Clapham High St, London",SW4 7SS,ChIJNfdMJXYFdkgRQqo3OihK-Ac
fireaway.co.uk,https://fireaway.co.uk/,Fireaway Clapham,Clapham High Street,end_of_day_food,end_of_day_food,"82 Clapham High St, London",SW4 7UL,ChIJF7rG8mYFdkgROnZmKh8SYjY
laruedaclapham.co.uk,https://www.laruedaclapham.co.uk/,La Rueda Italian Social House,Clapham High Street,end_of_day_food,end_of_day_food,"66 Clapham High St, London",SW4 7UL,ChIJV_qOwFEEdkgRRmVkaeLFxDc
olivesandmeze.co.uk,http://www.olivesandmeze.co.uk/,Olives + Meze Takeaway,Clapham High Street,end_of_day_food,end_of_day_food,"131 Clapham High St, London",SW4 7SS,ChIJM4jpB1IEdkgRsldknr7m0gw
soulloungeldn.com,https://www.soulloungeldn.com/,Soul Lounge,Clapham High Street,end_of_day_food,end_of_day_food,"76 Clapham High St, London",SW4 7UL,ChIJ8bKMDxYFdkgR-cbluWZDN90
tonkotsu.co.uk,https://tonkotsu.co.uk/locations/clapham/?keyword?utm_source=google,Tonkotsu Clapham,Clapham High Street,end_of_day_food,end_of_day_food,"153 Clapham High St, London",SW4 7SS,ChIJ_8cEL6AFdkgRd3c0BNuHt-I
wingstop.co.uk,https://www.wingstop.co.uk/?y_source=1_MTA0NTA2NDA0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Wingstop Clapham,Clapham High Street,end_of_day_food,end_of_day_food,"169 Clapham High St, London",SW4 7SS,ChIJE34OxkMFdkgRlWsdheGKvTs
